scenario,seed,simulation_time_seconds,intersection_id,queue_length,vehicle_count,mean_speed_mps,throughput_vehicles,tls_phase
low,42,60,6510829334,0.0,0.0,0.0,0,0
low,42,60,772009950,0.0,0.0,0.0,0,0
low,42,60,772249131,0.0,0.0,0.0,0,0
low,42,60,GS_772276149,0.0,0.0,0.0,0,3
low,42,60,cluster_367567689_6510829338,0.0,0.0,0.0,0,2
low,42,60,cluster_368825355_772192674_9246233634,0.0,0.0,0.0,0,2
low,42,60,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,2
low,42,60,cluster_482350926_6510829336_772206492,0.0,0.0,0.0,0,2
low,42,60,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.0,0.0,0,2
low,42,60,cluster_6510829335_772038986,0.0,0.0,0.0,0,0
low,42,60,cluster_771987417_772142429_772237953_8821814562,0.0,0.0,0.0,0,0
low,42,60,cluster_772070536_772172281,0.0,0.0,0.0,0,2
low,42,60,cluster_772156519_772183645,0.0,0.0,0.0,0,2
low,42,60,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,3
low,42,120,6510829334,0.0,0.0,0.0,0,0
low,42,120,772009950,0.0,0.0,0.0,0,0
low,42,120,772249131,0.0,0.016666666666666666,10.286683360138856,0,0
low,42,120,GS_772276149,0.0,0.0,0.0,0,1
low,42,120,cluster_367567689_6510829338,0.0,0.2,10.797963693135138,1,0
low,42,120,cluster_368825355_772192674_9246233634,0.13333333333333333,0.4,5.504620966344054,1,0
low,42,120,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,0
low,42,120,cluster_482350926_6510829336_772206492,0.2833333333333333,0.9333333333333333,5.264733877245887,0,0
low,42,120,cluster_4961905688_6510829310_771983339_772054674_#2more,0.21666666666666667,0.35,2.935267577297849,1,0
low,42,120,cluster_6510829335_772038986,0.0,0.0,0.0,0,0
low,42,120,cluster_771987417_772142429_772237953_8821814562,0.0,0.05,11.881601457900624,1,0
low,42,120,cluster_772070536_772172281,0.0,0.13333333333333333,10.429099647844275,1,0
low,42,120,cluster_772156519_772183645,0.0,0.0,0.0,0,0
low,42,120,joinedS_3841825190_cluster_367567700_772275036,0.08333333333333333,0.4666666666666667,7.503221780071924,2,1
low,42,180,6510829334,0.0,0.05,11.025936419192897,1,2
low,42,180,772009950,0.0,0.0,0.0,0,2
low,42,180,772249131,0.0,0.016666666666666666,10.465189428581803,1,2
low,42,180,GS_772276149,0.7833333333333333,0.9666666666666667,1.0909716790029922,0,5
low,42,180,cluster_367567689_6510829338,0.2833333333333333,0.45,2.565691874752857,0,4
low,42,180,cluster_368825355_772192674_9246233634,0.9166666666666666,1.0333333333333334,0.8046657831991557,1,4
low,42,180,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,3
low,42,180,cluster_482350926_6510829336_772206492,1.05,1.5,2.3495947606508056,4,3
low,42,180,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.0,0.0,0,4
low,42,180,cluster_6510829335_772038986,0.0,0.36666666666666664,10.836804468251323,3,3
low,42,180,cluster_771987417_772142429_772237953_8821814562,0.016666666666666666,0.16666666666666666,6.387795656634667,1,2
low,42,180,cluster_772070536_772172281,0.0,0.0,0.0,0,3
low,42,180,cluster_772156519_772183645,0.6833333333333333,0.7833333333333333,0.5838267259169706,0,3
low,42,180,joinedS_3841825190_cluster_367567700_772275036,0.2833333333333333,0.4666666666666667,2.070052715279347,1,5
low,42,240,6510829334,0.0,0.06666666666666667,10.889838819401136,2,0
low,42,240,772009950,0.0,0.0,0.0,0,0
low,42,240,772249131,0.0,0.0,0.0,0,0
low,42,240,GS_772276149,0.4166666666666667,0.5833333333333334,1.793352173215975,0,3
low,42,240,cluster_367567689_6510829338,0.0,0.13333333333333333,12.32205389151117,1,2
low,42,240,cluster_368825355_772192674_9246233634,0.016666666666666666,0.2833333333333333,7.917894603778858,2,2
low,42,240,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,2
low,42,240,cluster_482350926_6510829336_772206492,0.08333333333333333,0.8666666666666667,6.474446377347477,4,2
low,42,240,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.0,0.0,0,2
low,42,240,cluster_6510829335_772038986,0.0,0.5833333333333334,10.359255688429897,6,0
low,42,240,cluster_771987417_772142429_772237953_8821814562,0.0,0.2,8.710837905444427,3,0
